year;Authors; AuthorOne;AuthorLast;Quartil;Keywords;Keyword;Count;
2008;Nielsen S,Nielsen BB;Nielsen S;Nielsen BB;vacio;Compensation (personnel), Board of directors, Compensation systems, Empirical test, Executive compensation, Firm Performance, Top management teams, Upper echelons, Human resource management; Top management teams;1;
2008;Nielsen S,Nielsen BB;Nielsen S;Nielsen BB;vacio;Compensation (personnel), Board of directors, Compensation systems, Empirical test, Executive compensation, Firm Performance, Top management teams, Upper echelons, Human resource management; Upper echelons;1;
2008;Nielsen S,Nielsen BB;Nielsen S;Nielsen BB;vacio;Compensation (personnel), Board of directors, Compensation systems, Empirical test, Executive compensation, Firm Performance, Top management teams, Upper echelons, Human resource management; Human resource management;1;
2023;Smaili N,Le Maux J;Smaili N;Le Maux J;Q2;vacio;vacio;1;
2021;Gibson L,Groom R;Gibson L;Groom R;Q2;vacio;vacio;1;
2013;Seng D,Findlay J;Seng D;Findlay J;vacio;vacio;vacio;1;
2008;Forbes DP,Milliken FJ;Forbes DP;Milliken FJ;vacio;vacio;vacio;1;
2008;Guillén MF,Tschoegl A;Guillén MF;Tschoegl A;vacio;vacio;vacio;1;
1996;Demb A;Demb A;vacio;Q1;vacio;vacio;1;
2022;Oliveira M,Zhang S;Oliveira M;Zhang S;Q2;vacio;vacio;1;
2021;Hvenmark J,Einarsson T;Hvenmark J;Einarsson T;vacio;vacio;vacio;1;
2020;Cockburn T,Smith P;Cockburn T;Smith P;vacio;vacio;vacio;1;
2010;Wahba H,Elsayed K;Wahba H;Elsayed K;vacio;vacio;vacio;1;
2020;Shapenko A,Martynov S;Shapenko A;Martynov S;Q4;vacio;vacio;1;
2019;Dogar MN;Dogar MN;vacio;Q4;vacio;vacio;1;
2019;Boyar LB,Davis-Friday P;Boyar LB;Davis-Friday P;Q4;vacio;vacio;1;
2018;De Oliveira FL,Ramos L;De Oliveira FL;Ramos L;vacio;vacio;vacio;1;
2017;Ginevri AS;Ginevri AS;vacio;Q2;vacio;vacio;1;
2011;Oppenheimer PH;Oppenheimer PH;vacio;Q2;vacio;vacio;1;
2009;Guerra S,Machado Filho CA;Guerra S;Machado Filho CA;vacio;vacio;vacio;1;
1982;Higgins JC;Higgins JC;vacio;Q1;OPERATIONS RESEARCH, DECISION THEORY AND ANALYSIS;OPERATIONS RESEARCH;1;
1982;Higgins JC;Higgins JC;vacio;Q1;OPERATIONS RESEARCH, DECISION THEORY AND ANALYSIS; DECISION THEORY AND ANALYSIS;1;
2023;Renz DO,Andersson FO;Renz DO;Andersson FO;Q1;vacio;vacio;1;
2023;Alajmi A,Worthington AC;Alajmi A;Worthington AC;Q2;vacio;vacio;1;
2023;Jouber H;Jouber H;vacio;Q1;vacio;vacio;1;
2022;Brown M;Brown M;vacio;vacio;vacio;vacio;1;
2022;da Silveira GA,Klein V;da Silveira GA;Klein V;Q2;vacio;vacio;1;
2022;Sun F,Wei X;Sun F;Wei X;Q3;vacio;vacio;1;
2022;Ndaba Z,Ngxola N;Ndaba Z;Ngxola N;Q4;vacio;vacio;1;
2022;De Feis GL,Grunewald D;De Feis GL;Grunewald D;Q4;vacio;vacio;1;
2021;Upadhyay A,Triana MD;Upadhyay A;Triana MD;Q1;vacio;vacio;1;
2021;Ooi SC,Che Ahmad A;Ooi SC;Che Ahmad A;Q4;vacio;vacio;1;
2020;Robertson J,Nath A;Robertson J;Nath A;Q4;vacio;vacio;1;
2020;Ahn MK,Joo JH;Ahn MK;Joo JH;Q4;vacio;vacio;1;
2020;Krisnadewi KA,Agustia D;Krisnadewi KA;Agustia D;vacio;vacio;vacio;1;
2019;Gabrielsson J,Yamak S;Gabrielsson J;Yamak S;vacio;vacio;vacio;1;
2019;Bonomelli G;Bonomelli G;vacio;Q4;vacio;vacio;1;
2016;Sinyutin MV,Pruel NA;Sinyutin MV;Pruel NA;vacio;vacio;vacio;1;
2015;Sigauke J,Sibanda R;Sigauke J;Sibanda R;vacio;vacio;vacio;1;
2015;Kanagaretnam K,Mathieu R;Kanagaretnam K;Mathieu R;vacio;vacio;vacio;1;
2015;Xie X,Klijn E;Xie X;Klijn E;vacio;vacio;vacio;1;
2014;Tušek B,Bariši? I;Tušek B;Bariši? I;vacio;vacio;vacio;1;
2012;Wang Y,Lu L;Wang Y;Lu L;vacio;Board of directors, Empirical analysis, Empirical studies, Fraud, Listed companies, Negative correlation, Non-private, Positive correlations, Private companies, Stock holdings, Computer crime, Crime, Industrial engineering, Information management, Innovation, Wages, Industry;Board of directors;1;
2012;Wang Y,Lu L;Wang Y;Lu L;vacio;Board of directors, Empirical analysis, Empirical studies, Fraud, Listed companies, Negative correlation, Non-private, Positive correlations, Private companies, Stock holdings, Computer crime, Crime, Industrial engineering, Information management, Innovation, Wages, Industry; Empirical analysis;1;
2012;Wang Y,Lu L;Wang Y;Lu L;vacio;Board of directors, Empirical analysis, Empirical studies, Fraud, Listed companies, Negative correlation, Non-private, Positive correlations, Private companies, Stock holdings, Computer crime, Crime, Industrial engineering, Information management, Innovation, Wages, Industry; Empirical studies;1;
2012;Wang Y,Lu L;Wang Y;Lu L;vacio;Board of directors, Empirical analysis, Empirical studies, Fraud, Listed companies, Negative correlation, Non-private, Positive correlations, Private companies, Stock holdings, Computer crime, Crime, Industrial engineering, Information management, Innovation, Wages, Industry; Fraud;1;
2012;Wang Y,Lu L;Wang Y;Lu L;vacio;Board of directors, Empirical analysis, Empirical studies, Fraud, Listed companies, Negative correlation, Non-private, Positive correlations, Private companies, Stock holdings, Computer crime, Crime, Industrial engineering, Information management, Innovation, Wages, Industry; Listed companies;1;
2012;Wang Y,Lu L;Wang Y;Lu L;vacio;Board of directors, Empirical analysis, Empirical studies, Fraud, Listed companies, Negative correlation, Non-private, Positive correlations, Private companies, Stock holdings, Computer crime, Crime, Industrial engineering, Information management, Innovation, Wages, Industry; Negative correlation;1;
2012;Wang Y,Lu L;Wang Y;Lu L;vacio;Board of directors, Empirical analysis, Empirical studies, Fraud, Listed companies, Negative correlation, Non-private, Positive correlations, Private companies, Stock holdings, Computer crime, Crime, Industrial engineering, Information management, Innovation, Wages, Industry; Non-private;1;
2012;Wang Y,Lu L;Wang Y;Lu L;vacio;Board of directors, Empirical analysis, Empirical studies, Fraud, Listed companies, Negative correlation, Non-private, Positive correlations, Private companies, Stock holdings, Computer crime, Crime, Industrial engineering, Information management, Innovation, Wages, Industry; Positive correlations;1;
2012;Wang Y,Lu L;Wang Y;Lu L;vacio;Board of directors, Empirical analysis, Empirical studies, Fraud, Listed companies, Negative correlation, Non-private, Positive correlations, Private companies, Stock holdings, Computer crime, Crime, Industrial engineering, Information management, Innovation, Wages, Industry; Private companies;1;
2012;Wang Y,Lu L;Wang Y;Lu L;vacio;Board of directors, Empirical analysis, Empirical studies, Fraud, Listed companies, Negative correlation, Non-private, Positive correlations, Private companies, Stock holdings, Computer crime, Crime, Industrial engineering, Information management, Innovation, Wages, Industry; Stock holdings;1;
2012;Wang Y,Lu L;Wang Y;Lu L;vacio;Board of directors, Empirical analysis, Empirical studies, Fraud, Listed companies, Negative correlation, Non-private, Positive correlations, Private companies, Stock holdings, Computer crime, Crime, Industrial engineering, Information management, Innovation, Wages, Industry; Computer crime;1;
2012;Wang Y,Lu L;Wang Y;Lu L;vacio;Board of directors, Empirical analysis, Empirical studies, Fraud, Listed companies, Negative correlation, Non-private, Positive correlations, Private companies, Stock holdings, Computer crime, Crime, Industrial engineering, Information management, Innovation, Wages, Industry; Crime;1;
2012;Wang Y,Lu L;Wang Y;Lu L;vacio;Board of directors, Empirical analysis, Empirical studies, Fraud, Listed companies, Negative correlation, Non-private, Positive correlations, Private companies, Stock holdings, Computer crime, Crime, Industrial engineering, Information management, Innovation, Wages, Industry; Industrial engineering;1;
2012;Wang Y,Lu L;Wang Y;Lu L;vacio;Board of directors, Empirical analysis, Empirical studies, Fraud, Listed companies, Negative correlation, Non-private, Positive correlations, Private companies, Stock holdings, Computer crime, Crime, Industrial engineering, Information management, Innovation, Wages, Industry; Information management;1;
2012;Wang Y,Lu L;Wang Y;Lu L;vacio;Board of directors, Empirical analysis, Empirical studies, Fraud, Listed companies, Negative correlation, Non-private, Positive correlations, Private companies, Stock holdings, Computer crime, Crime, Industrial engineering, Information management, Innovation, Wages, Industry; Innovation;1;
2012;Wang Y,Lu L;Wang Y;Lu L;vacio;Board of directors, Empirical analysis, Empirical studies, Fraud, Listed companies, Negative correlation, Non-private, Positive correlations, Private companies, Stock holdings, Computer crime, Crime, Industrial engineering, Information management, Innovation, Wages, Industry; Wages;1;
2012;Wang Y,Lu L;Wang Y;Lu L;vacio;Board of directors, Empirical analysis, Empirical studies, Fraud, Listed companies, Negative correlation, Non-private, Positive correlations, Private companies, Stock holdings, Computer crime, Crime, Industrial engineering, Information management, Innovation, Wages, Industry; Industry;1;
2012;Alles M,Friedland J;Alles M;Friedland J;Q2;vacio;vacio;1;
2011;Saetang S,Haider A;Saetang S;Haider A;vacio;Knowledge management, Business requirement, Corporate governance, Critical success factor, Implementation process, Interpretive research, IT governance, IT infrastructures, Resource flexibility, Competition;Knowledge management;1;
2011;Saetang S,Haider A;Saetang S;Haider A;vacio;Knowledge management, Business requirement, Corporate governance, Critical success factor, Implementation process, Interpretive research, IT governance, IT infrastructures, Resource flexibility, Competition; Business requirement;1;
2011;Saetang S,Haider A;Saetang S;Haider A;vacio;Knowledge management, Business requirement, Corporate governance, Critical success factor, Implementation process, Interpretive research, IT governance, IT infrastructures, Resource flexibility, Competition; Corporate governance;1;
2011;Saetang S,Haider A;Saetang S;Haider A;vacio;Knowledge management, Business requirement, Corporate governance, Critical success factor, Implementation process, Interpretive research, IT governance, IT infrastructures, Resource flexibility, Competition; Critical success factor;1;
2011;Saetang S,Haider A;Saetang S;Haider A;vacio;Knowledge management, Business requirement, Corporate governance, Critical success factor, Implementation process, Interpretive research, IT governance, IT infrastructures, Resource flexibility, Competition; Implementation process;1;
2011;Saetang S,Haider A;Saetang S;Haider A;vacio;Knowledge management, Business requirement, Corporate governance, Critical success factor, Implementation process, Interpretive research, IT governance, IT infrastructures, Resource flexibility, Competition; Interpretive research;1;
2011;Saetang S,Haider A;Saetang S;Haider A;vacio;Knowledge management, Business requirement, Corporate governance, Critical success factor, Implementation process, Interpretive research, IT governance, IT infrastructures, Resource flexibility, Competition; IT governance;1;
2011;Saetang S,Haider A;Saetang S;Haider A;vacio;Knowledge management, Business requirement, Corporate governance, Critical success factor, Implementation process, Interpretive research, IT governance, IT infrastructures, Resource flexibility, Competition; IT infrastructures;1;
2011;Saetang S,Haider A;Saetang S;Haider A;vacio;Knowledge management, Business requirement, Corporate governance, Critical success factor, Implementation process, Interpretive research, IT governance, IT infrastructures, Resource flexibility, Competition; Resource flexibility;1;
2011;Saetang S,Haider A;Saetang S;Haider A;vacio;Knowledge management, Business requirement, Corporate governance, Critical success factor, Implementation process, Interpretive research, IT governance, IT infrastructures, Resource flexibility, Competition; Competition;1;
2010;Cordeiro Martins H,Jardim Pardini D;Cordeiro Martins H;Jardim Pardini D;vacio;vacio;vacio;1;
2008;Lee P;Lee P;vacio;Q4;vacio;vacio;1;
2007;Kistruck GM,Qureshi I;Kistruck GM;Qureshi I;vacio;Board of directors, Board size, Corporate governance, Current theories, Financial performance, Nonprofit, Practical guidance, Sweet spot, Nonprofit organization;Board of directors;1;
2007;Kistruck GM,Qureshi I;Kistruck GM;Qureshi I;vacio;Board of directors, Board size, Corporate governance, Current theories, Financial performance, Nonprofit, Practical guidance, Sweet spot, Nonprofit organization; Board size;1;
2007;Kistruck GM,Qureshi I;Kistruck GM;Qureshi I;vacio;Board of directors, Board size, Corporate governance, Current theories, Financial performance, Nonprofit, Practical guidance, Sweet spot, Nonprofit organization; Corporate governance;1;
2007;Kistruck GM,Qureshi I;Kistruck GM;Qureshi I;vacio;Board of directors, Board size, Corporate governance, Current theories, Financial performance, Nonprofit, Practical guidance, Sweet spot, Nonprofit organization; Current theories;1;
2007;Kistruck GM,Qureshi I;Kistruck GM;Qureshi I;vacio;Board of directors, Board size, Corporate governance, Current theories, Financial performance, Nonprofit, Practical guidance, Sweet spot, Nonprofit organization; Financial performance;1;
2007;Kistruck GM,Qureshi I;Kistruck GM;Qureshi I;vacio;Board of directors, Board size, Corporate governance, Current theories, Financial performance, Nonprofit, Practical guidance, Sweet spot, Nonprofit organization; Nonprofit;1;
2007;Kistruck GM,Qureshi I;Kistruck GM;Qureshi I;vacio;Board of directors, Board size, Corporate governance, Current theories, Financial performance, Nonprofit, Practical guidance, Sweet spot, Nonprofit organization; Practical guidance;1;
2007;Kistruck GM,Qureshi I;Kistruck GM;Qureshi I;vacio;Board of directors, Board size, Corporate governance, Current theories, Financial performance, Nonprofit, Practical guidance, Sweet spot, Nonprofit organization; Sweet spot;1;
2007;Kistruck GM,Qureshi I;Kistruck GM;Qureshi I;vacio;Board of directors, Board size, Corporate governance, Current theories, Financial performance, Nonprofit, Practical guidance, Sweet spot, Nonprofit organization; Nonprofit organization;1;
2005;Chtourou SM,Fourati YM;Chtourou SM;Fourati YM;vacio;vacio;vacio;1;
2000;Shenkman S;Shenkman S;vacio;Q4;Personnel, Precast concrete, Prestressed concrete, Strategic planning, Precast films, Concrete industry;Personnel;1;
2000;Shenkman S;Shenkman S;vacio;Q4;Personnel, Precast concrete, Prestressed concrete, Strategic planning, Precast films, Concrete industry; Precast concrete;1;
2000;Shenkman S;Shenkman S;vacio;Q4;Personnel, Precast concrete, Prestressed concrete, Strategic planning, Precast films, Concrete industry; Prestressed concrete;1;
2000;Shenkman S;Shenkman S;vacio;Q4;Personnel, Precast concrete, Prestressed concrete, Strategic planning, Precast films, Concrete industry; Strategic planning;1;
2000;Shenkman S;Shenkman S;vacio;Q4;Personnel, Precast concrete, Prestressed concrete, Strategic planning, Precast films, Concrete industry; Precast films;1;
2000;Shenkman S;Shenkman S;vacio;Q4;Personnel, Precast concrete, Prestressed concrete, Strategic planning, Precast films, Concrete industry; Concrete industry;1;
;Pavicevic S,Keilc T;Pavicevic S;Keilc T;Q1;acquisitions, board of directors, board meetings, group information processing, negotiations, complexity;acquisitions;1;
;Pavicevic S,Keilc T;Pavicevic S;Keilc T;Q1;acquisitions, board of directors, board meetings, group information processing, negotiations, complexity; board of directors;1;
;Pavicevic S,Keilc T;Pavicevic S;Keilc T;Q1;acquisitions, board of directors, board meetings, group information processing, negotiations, complexity; board meetings;1;
;Pavicevic S,Keilc T;Pavicevic S;Keilc T;Q1;acquisitions, board of directors, board meetings, group information processing, negotiations, complexity; group information processing;1;
;Pavicevic S,Keilc T;Pavicevic S;Keilc T;Q1;acquisitions, board of directors, board meetings, group information processing, negotiations, complexity; negotiations;1;
;Pavicevic S,Keilc T;Pavicevic S;Keilc T;Q1;acquisitions, board of directors, board meetings, group information processing, negotiations, complexity; complexity;1;
2021;Wu J,Yu L;Wu J;Yu L;Q1;board of directors, demographic fault lines, gender fault line strength, strategic change, upper echelons;board of directors;1;
2021;Wu J,Yu L;Wu J;Yu L;Q1;board of directors, demographic fault lines, gender fault line strength, strategic change, upper echelons; demographic fault lines;1;
2021;Wu J,Yu L;Wu J;Yu L;Q1;board of directors, demographic fault lines, gender fault line strength, strategic change, upper echelons; gender fault line strength;1;
2021;Wu J,Yu L;Wu J;Yu L;Q1;board of directors, demographic fault lines, gender fault line strength, strategic change, upper echelons; strategic change;1;
2021;Wu J,Yu L;Wu J;Yu L;Q1;board of directors, demographic fault lines, gender fault line strength, strategic change, upper echelons; upper echelons;1;
2021;Garcia-Ramos R,Diaz BD;Garcia-Ramos R;Diaz BD;Q1;Corporate governance, Board of directors, Financial performance, Qualitative comparative analysis, Complexity theory;Corporate governance;1;
2021;Garcia-Ramos R,Diaz BD;Garcia-Ramos R;Diaz BD;Q1;Corporate governance, Board of directors, Financial performance, Qualitative comparative analysis, Complexity theory; Board of directors;1;
2021;Garcia-Ramos R,Diaz BD;Garcia-Ramos R;Diaz BD;Q1;Corporate governance, Board of directors, Financial performance, Qualitative comparative analysis, Complexity theory; Financial performance;1;
2021;Garcia-Ramos R,Diaz BD;Garcia-Ramos R;Diaz BD;Q1;Corporate governance, Board of directors, Financial performance, Qualitative comparative analysis, Complexity theory; Qualitative comparative analysis;1;
2021;Garcia-Ramos R,Diaz BD;Garcia-Ramos R;Diaz BD;Q1;Corporate governance, Board of directors, Financial performance, Qualitative comparative analysis, Complexity theory; Complexity theory;1;
2020;Luciano MM,Shropshire C;Luciano MM;Shropshire C;Q1;vacio;vacio;1;
2014;Atinc G,Ocal Y;Atinc G;Ocal Y;Q1;corporate governance, business strategy, top management teams, board of directors, organizational environment;corporate governance;1;
2014;Atinc G,Ocal Y;Atinc G;Ocal Y;Q1;corporate governance, business strategy, top management teams, board of directors, organizational environment; business strategy;1;
2014;Atinc G,Ocal Y;Atinc G;Ocal Y;Q1;corporate governance, business strategy, top management teams, board of directors, organizational environment; top management teams;1;
2014;Atinc G,Ocal Y;Atinc G;Ocal Y;Q1;corporate governance, business strategy, top management teams, board of directors, organizational environment; board of directors;1;
2014;Atinc G,Ocal Y;Atinc G;Ocal Y;Q1;corporate governance, business strategy, top management teams, board of directors, organizational environment; organizational environment;1;
2019;Chychyla R,Minutti- Meza M;Chychyla R;Minutti- Meza M;Q1;Financial reporting complexity, Accounting expertise, Financial reporting quality, Textual analysis, XBRL;Financial reporting complexity;1;
2019;Chychyla R,Minutti- Meza M;Chychyla R;Minutti- Meza M;Q1;Financial reporting complexity, Accounting expertise, Financial reporting quality, Textual analysis, XBRL; Accounting expertise;1;
2019;Chychyla R,Minutti- Meza M;Chychyla R;Minutti- Meza M;Q1;Financial reporting complexity, Accounting expertise, Financial reporting quality, Textual analysis, XBRL; Financial reporting quality;1;
2019;Chychyla R,Minutti- Meza M;Chychyla R;Minutti- Meza M;Q1;Financial reporting complexity, Accounting expertise, Financial reporting quality, Textual analysis, XBRL; Textual analysis;1;
2019;Chychyla R,Minutti- Meza M;Chychyla R;Minutti- Meza M;Q1;Financial reporting complexity, Accounting expertise, Financial reporting quality, Textual analysis, XBRL; XBRL;1;
;Alajmi A,Worthington AC;Alajmi A;Worthington AC;Q2;Corporate governance, Audit committees, Boards of directors, Emerging markets, Market and accounting performance, Kuwait;Corporate governance;1;
;Alajmi A,Worthington AC;Alajmi A;Worthington AC;Q2;Corporate governance, Audit committees, Boards of directors, Emerging markets, Market and accounting performance, Kuwait; Audit committees;1;
;Alajmi A,Worthington AC;Alajmi A;Worthington AC;Q2;Corporate governance, Audit committees, Boards of directors, Emerging markets, Market and accounting performance, Kuwait; Boards of directors;1;
;Alajmi A,Worthington AC;Alajmi A;Worthington AC;Q2;Corporate governance, Audit committees, Boards of directors, Emerging markets, Market and accounting performance, Kuwait; Emerging markets;1;
;Alajmi A,Worthington AC;Alajmi A;Worthington AC;Q2;Corporate governance, Audit committees, Boards of directors, Emerging markets, Market and accounting performance, Kuwait; Market and accounting performance;1;
;Alajmi A,Worthington AC;Alajmi A;Worthington AC;Q2;Corporate governance, Audit committees, Boards of directors, Emerging markets, Market and accounting performance, Kuwait; Kuwait;1;
2021;Alawaqleh QA,Alsawalhah JM;Alawaqleh QA;Alsawalhah JM;vacio;Audit Quality, Corporate Governance, Chief Executive Officer Tenure, Chief Executive Officer Duality, Board Independence, Board Size;Audit Quality;1;
2021;Alawaqleh QA,Alsawalhah JM;Alawaqleh QA;Alsawalhah JM;vacio;Audit Quality, Corporate Governance, Chief Executive Officer Tenure, Chief Executive Officer Duality, Board Independence, Board Size; Corporate Governance;1;
2021;Alawaqleh QA,Alsawalhah JM;Alawaqleh QA;Alsawalhah JM;vacio;Audit Quality, Corporate Governance, Chief Executive Officer Tenure, Chief Executive Officer Duality, Board Independence, Board Size; Chief Executive Officer Tenure;1;
2021;Alawaqleh QA,Alsawalhah JM;Alawaqleh QA;Alsawalhah JM;vacio;Audit Quality, Corporate Governance, Chief Executive Officer Tenure, Chief Executive Officer Duality, Board Independence, Board Size; Chief Executive Officer Duality;1;
2021;Alawaqleh QA,Alsawalhah JM;Alawaqleh QA;Alsawalhah JM;vacio;Audit Quality, Corporate Governance, Chief Executive Officer Tenure, Chief Executive Officer Duality, Board Independence, Board Size; Board Independence;1;
2021;Alawaqleh QA,Alsawalhah JM;Alawaqleh QA;Alsawalhah JM;vacio;Audit Quality, Corporate Governance, Chief Executive Officer Tenure, Chief Executive Officer Duality, Board Independence, Board Size; Board Size;1;
2015;Ndofor HA,Priem RL;Ndofor HA;Priem RL;Q1;agency theory, compensation, bonuses and benefits, boards of directors;agency theory;1;
2015;Ndofor HA,Priem RL;Ndofor HA;Priem RL;Q1;agency theory, compensation, bonuses and benefits, boards of directors; compensation;1;
2015;Ndofor HA,Priem RL;Ndofor HA;Priem RL;Q1;agency theory, compensation, bonuses and benefits, boards of directors; bonuses and benefits;1;
2015;Ndofor HA,Priem RL;Ndofor HA;Priem RL;Q1;agency theory, compensation, bonuses and benefits, boards of directors; boards of directors;1;
2014;Amran A,Devi SS;Amran A;Devi SS;Q1;sustainability reporting, board of directors, strategic CSR, Asia Pacific;sustainability reporting;1;
2014;Amran A,Devi SS;Amran A;Devi SS;Q1;sustainability reporting, board of directors, strategic CSR, Asia Pacific; board of directors;1;
2014;Amran A,Devi SS;Amran A;Devi SS;Q1;sustainability reporting, board of directors, strategic CSR, Asia Pacific; strategic CSR;1;
2014;Amran A,Devi SS;Amran A;Devi SS;Q1;sustainability reporting, board of directors, strategic CSR, Asia Pacific; Asia Pacific;1;
2019;Klijn E,van den Bosch FA;Klijn E;van den Bosch FA;Q1;vacio;vacio;1;
2012;Acero Fraile I,Alcalde Fradejas N;Acero Fraile I;Alcalde Fradejas N;Q3;Advisory and monitoring function, Corporate governance, Endogeneity, Ownership concentration, Spain, Structure of the board of directors;Advisory and monitoring function;1;
2012;Acero Fraile I,Alcalde Fradejas N;Acero Fraile I;Alcalde Fradejas N;Q3;Advisory and monitoring function, Corporate governance, Endogeneity, Ownership concentration, Spain, Structure of the board of directors; Corporate governance;1;
2012;Acero Fraile I,Alcalde Fradejas N;Acero Fraile I;Alcalde Fradejas N;Q3;Advisory and monitoring function, Corporate governance, Endogeneity, Ownership concentration, Spain, Structure of the board of directors; Endogeneity;1;
2012;Acero Fraile I,Alcalde Fradejas N;Acero Fraile I;Alcalde Fradejas N;Q3;Advisory and monitoring function, Corporate governance, Endogeneity, Ownership concentration, Spain, Structure of the board of directors; Ownership concentration;1;
2012;Acero Fraile I,Alcalde Fradejas N;Acero Fraile I;Alcalde Fradejas N;Q3;Advisory and monitoring function, Corporate governance, Endogeneity, Ownership concentration, Spain, Structure of the board of directors; Spain;1;
2012;Acero Fraile I,Alcalde Fradejas N;Acero Fraile I;Alcalde Fradejas N;Q3;Advisory and monitoring function, Corporate governance, Endogeneity, Ownership concentration, Spain, Structure of the board of directors; Structure of the board of directors;1;
2021;Debellis F,Del Giudice M;Debellis F;Del Giudice M;Q1;International joint ventures, Strategic agility, Family firms, Board of directors, Socioemotional wealth;International joint ventures;1;
2021;Debellis F,Del Giudice M;Debellis F;Del Giudice M;Q1;International joint ventures, Strategic agility, Family firms, Board of directors, Socioemotional wealth; Strategic agility;1;
2021;Debellis F,Del Giudice M;Debellis F;Del Giudice M;Q1;International joint ventures, Strategic agility, Family firms, Board of directors, Socioemotional wealth; Family firms;1;
2021;Debellis F,Del Giudice M;Debellis F;Del Giudice M;Q1;International joint ventures, Strategic agility, Family firms, Board of directors, Socioemotional wealth; Board of directors;1;
2021;Debellis F,Del Giudice M;Debellis F;Del Giudice M;Q1;International joint ventures, Strategic agility, Family firms, Board of directors, Socioemotional wealth; Socioemotional wealth;1;
2020;Trinh VQ,Cao ND;Trinh VQ;Cao ND;Q1;Board busyness, Islamic banks, Conventional banks, Cost of debt;Board busyness;1;
2020;Trinh VQ,Cao ND;Trinh VQ;Cao ND;Q1;Board busyness, Islamic banks, Conventional banks, Cost of debt; Islamic banks;1;
2020;Trinh VQ,Cao ND;Trinh VQ;Cao ND;Q1;Board busyness, Islamic banks, Conventional banks, Cost of debt; Conventional banks;1;
2020;Trinh VQ,Cao ND;Trinh VQ;Cao ND;Q1;Board busyness, Islamic banks, Conventional banks, Cost of debt; Cost of debt;1;
2017;Cuadrado-Ballesteros B,Garcia-Sanchez IM;Cuadrado-Ballesteros B;Garcia-Sanchez IM;Q1;corporate social responsibility, stakeholder engagement, qualitative comparative analysis, complexity theory, board of directors, sustainability development, social responsibility;corporate social responsibility;1;
2017;Cuadrado-Ballesteros B,Garcia-Sanchez IM;Cuadrado-Ballesteros B;Garcia-Sanchez IM;Q1;corporate social responsibility, stakeholder engagement, qualitative comparative analysis, complexity theory, board of directors, sustainability development, social responsibility; stakeholder engagement;1;
2017;Cuadrado-Ballesteros B,Garcia-Sanchez IM;Cuadrado-Ballesteros B;Garcia-Sanchez IM;Q1;corporate social responsibility, stakeholder engagement, qualitative comparative analysis, complexity theory, board of directors, sustainability development, social responsibility; qualitative comparative analysis;1;
2017;Cuadrado-Ballesteros B,Garcia-Sanchez IM;Cuadrado-Ballesteros B;Garcia-Sanchez IM;Q1;corporate social responsibility, stakeholder engagement, qualitative comparative analysis, complexity theory, board of directors, sustainability development, social responsibility; complexity theory;1;
2017;Cuadrado-Ballesteros B,Garcia-Sanchez IM;Cuadrado-Ballesteros B;Garcia-Sanchez IM;Q1;corporate social responsibility, stakeholder engagement, qualitative comparative analysis, complexity theory, board of directors, sustainability development, social responsibility; board of directors;1;
2017;Cuadrado-Ballesteros B,Garcia-Sanchez IM;Cuadrado-Ballesteros B;Garcia-Sanchez IM;Q1;corporate social responsibility, stakeholder engagement, qualitative comparative analysis, complexity theory, board of directors, sustainability development, social responsibility; sustainability development;1;
2017;Cuadrado-Ballesteros B,Garcia-Sanchez IM;Cuadrado-Ballesteros B;Garcia-Sanchez IM;Q1;corporate social responsibility, stakeholder engagement, qualitative comparative analysis, complexity theory, board of directors, sustainability development, social responsibility; social responsibility;1;
2017;Chen LY,Lai JH;Chen LY;Lai JH;Q1;vacio;vacio;1;
2022;Pobric A;Pobric A;vacio;Q3;internal control over the financial reporting system, board of directors, audit committee, internal audit, company's characteristics;internal control over the financial reporting system;1;
2022;Pobric A;Pobric A;vacio;Q3;internal control over the financial reporting system, board of directors, audit committee, internal audit, company's characteristics; board of directors;1;
2022;Pobric A;Pobric A;vacio;Q3;internal control over the financial reporting system, board of directors, audit committee, internal audit, company's characteristics; audit committee;1;
2022;Pobric A;Pobric A;vacio;Q3;internal control over the financial reporting system, board of directors, audit committee, internal audit, company's characteristics; internal audit;1;
2022;Pobric A;Pobric A;vacio;Q3;internal control over the financial reporting system, board of directors, audit committee, internal audit, company's characteristics; company's characteristics;1;
2018;Nordberg D;Nordberg D;vacio;Q2;Corporate governance, Boards of directors, Investors, Rationality, Reasonableness;Corporate governance;1;
2018;Nordberg D;Nordberg D;vacio;Q2;Corporate governance, Boards of directors, Investors, Rationality, Reasonableness; Boards of directors;1;
2018;Nordberg D;Nordberg D;vacio;Q2;Corporate governance, Boards of directors, Investors, Rationality, Reasonableness; Investors;1;
2018;Nordberg D;Nordberg D;vacio;Q2;Corporate governance, Boards of directors, Investors, Rationality, Reasonableness; Rationality;1;
2018;Nordberg D;Nordberg D;vacio;Q2;Corporate governance, Boards of directors, Investors, Rationality, Reasonableness; Reasonableness;1;
2020;Krisnadewi KA,Agustia D;Krisnadewi KA;Agustia D;vacio;Board Size, Corporate Governance, Performance, Two- tier, Indonesia;Board Size;1;
2020;Krisnadewi KA,Agustia D;Krisnadewi KA;Agustia D;vacio;Board Size, Corporate Governance, Performance, Two- tier, Indonesia; Corporate Governance;1;
