Item type|ENTRYTYPE|ID|Authors|Title|Journal|quartil|hindex|Publication year|Volume|Issue|Pages|Publisher|Address|Date published|ISBN|ISBN (alt.)|ISSN|URLs|DOI|Abstract|Keywords|Notes|Affiliation|Language|Pages cited
Journal Article|article|34|Neumann BR,Cauvin E,Roberts ML|Management control systems dilemma: Reconciling sustainability with information overload|Advances in Management Accounting|Q4|14|2012|20||1-28|||2012|||1474-7871|http://dx.doi.org/10.1 l08fSl474-7871(2012)0000020007|10.1 l08fSl474-7871(2012)0000020007|In the growing debate about designing new management control systems (MCS) to include stakeholder values, there has been little discussion about information overload. Stakeholder advocates call for including more environmental and related social disclosures but do not consider how information overload might impair the use and interpretation of corporate performance measures. As we know, shareholders and boards of directors are most concerned with market data such as earnings per share, dividend rates, and market value growth. In this chapter, we assert that management control system designers must consider information overload before expanding the MCS to include social and nonfinancial disclosures. The paradox in expanding MCS is that demand for sustainability performance measures will likely result in overload for both information preparers and information users. Corporate Social Responsibility (CSR) and similar sustainability disclosures are likely to overload MCS and overwhelm the readers and users by performance reports that include multiple dimensions. CSR affects the design of companies' annual reports because stakeholders are increasingly concerned with how organizations address their social responsibilities and how they disclose their societal responses. Management accountants are accustomed to providing performance measures within an organization and MCS usually have an internal focus. CFOs are often not accustomed to balancing the needs of stakeholders with those of managers and owners. We suggest that companies and CFOs will face an information overload dilemma in making these determinations, and that users will be overloaded in sifting through the multiple dimensions of information that are increasingly being provided. We suggest that the bias toward financial performance measures will distort both the provision of relevant information and the use of sustainability performance measures. We modified the Epstein and Roy sustainability model (2001) to illustrate some of these potential impacts. We note that the balanced scorecard (BSC) was developed as one such tool to reflect and communicate multiple measures. We summarize a previous study showing how managers ignored multiple performance measures in a performance scorecard study. We then relate our results to some of the information overload literature to support our suggestion that stakeholders will face many of the same information overload issues and constraints when using and processing social disclosures. Our summary of the information overload literature results in a call for more interdisciplinary information overload research involving real-world contexts and tasks. We note that most of the extant information overload literature is restricted to discipline-based silo- oriented studies and to simplistic evaluations, brand identification, or forecasting tasks. Our study went into some depth to describe the business, its strategies and objectives, and a comparison of actual results to specific goals. As management control systems evolve or are designed to report sustainability data, the issues surrounding increasing complexity and information overload will become exponentially problematic. We suggest that future research also include consideration of information overload conditions facing preparers and disclosers of sustainability measures. Copyright © 2012 by Emerald Group Publishing Limited All rights of reproduction In any form reserved.||cited By 15|Business School, University of Colorado, Denver, CO, United States; CERGAM, University Paul Cezanne Aix- Marseille III-IAE, Aix en Provence, France|English|
Journal Article|article|35|Hollman KW,Forrest JE|Risk management in a service business|International Journal of Service Industry Management|Not yet assigned quartile|98|1991|2|2|49-65|||1991|||0956-4233|http://dx.doi.org/10.1108/09564239110144993|10.1108/09564239110144993|Risk management is an important function to the service business that continues to grow in breadth and complexity. It involves the systematic application of a five-step process which is designed to enable a risk manager to cope with the risks of pure loss exposures. A number of operational and financing techniques can be employed to treat risks of loss once they have been identified. The particular technique(s) chosen by a service firm depends to a significant degree upon the firm’s objectives in relation to each of six performance dimensions. While the concept of risk management follows a patterned thought process and can be readily understood, it is helpful to select risk management techniques on the basis of relatively sophisticated decision theory formulations. Assistance in identifying, analysing, and treating loss exposures may be sought from outside experts. Too often, top management and boards of directors do not realise the value and necessity of an effective risk management programme in minimising the adverse impact of risk on the service firm's resources and earnings. A sound risk management programme enables a service business to minimise expenses, operate more effectively, and achieve some combination of pre-loss and post-loss objectives. Such a programme can make it possible for the service firm to survive an otherwise crippling financial loss and sustain service continuity. Sound risk management also engenders peace of mind and confidence while enabling owners to concentrate more of their attention on speculative risks which they might otherwise seek to avoid. For these reasons, it is increasingly crucial that service firm managers learn to manage pure risks effectively. © 1991, MCB||cited By 15|Middle Tennessee State University, Tennessee, United States|English|
Journal Article|article|36|Nwogugu M|Towards multi-factor models of decision making and risk: A critique of Prospect Theory and related approaches, part I|Journal of Risk Finance|Q2|40|2005|6|2|150-162|Emerald Group Publishing Ltd.||2005|||1526-5943|http://dx.doi.org/10.1108/15265940510585815|10.1108/15265940510585815|Purpose – To: evaluate Prospect Theory and Cumulative Prospect Theory as functional models of decision making and risk within various contexts; compare and analyze risk models and decision-making models; evaluate models of stock risk developed by Robert Engle and related models; establish whether the models are related and have the same foundations; relate risk, decision making and options theory; and develop the foundations for a new model of decision making and risk named “belief systems”. Design/methodology/approach – Critiques existing academic work in different contexts. Analyzes the shortcomings of various measures of risk, and group decision making, which was not addressed in developing Prospect Theory and Cumulative Prospect Theory. Develops the characteristics of a mew model for decision making and risk named “belief systems”, and then differentiates it from belief networks. Findings – Decision making is a multi-factor, multi-dimensional process that often requires the processing of information, and thus, it is inaccurate to impose rigid models in decision making; the existing metrics for quantifying risk are inadequate; Prospect Theory and Cumulative Prospect Theory were developed using questionable methods and data, and are impractical; the analysis of probabilistic insurance and most of the theories and “effects” developed by Kahneman and Tversky's articles are invalid and impractical; Prospect Theory, Cumulative Prospect Theory, Expected Utility Theory, and market-risk models are conceptually the same and do not account for many facets of risk and decision making; risk and decision making are better quantified and modeled using a mix of situation- specific dynamic, quantitative and qualitative factors; belief systems can better account for the multi-dimensional characteristics of risk and decision making. Research limitations/implications – Areas for further research include: development of dynamic market-risk models that incorporate asset- market psychology, liquidity, market size, frequency of trading, knowledge differences among market participants, and trading rules in each market; and further development of concepts in belief systems. Practical implications – Decision making and risk assessment are multi-criteria processes that typically require some processing of information, and thus cannot be defined accurately by rigid quantitative models; Prospect Theory and Cumulative Prospect Theory are abstract, rigid, and are not practical models for decision making; and existing market-risk models are inaccurate, and thus the international financial system may be compromised. Originality/value – The issues discussed are relevant to government regulators, central banks, judges, risk managers, executives, derivatives regulators, stock exchange regulators, legislators, psychologists, boards of directors, finance professionals, management science/operations research professionals, health-care-informatics professionals, scientists, engineers, and people in any situation that requires decision making and risk assessment. © 2005, © Emerald Group Publishing Limited.||cited By 14|Business Consultant, Brooklyn, New York, NY, United States|English|
Journal Article|article|37|Nwogugu M|Towards multi-factor models of decision making and risk: A critique of Prospect Theory and related approaches, part II|Journal of Risk Finance|Q2|40|2005|6|2|163-173|Emerald Group Publishing Ltd.||2005|||1526-5943|http://dx.doi.org/10.1108/15265940510585824|10.1108/15265940510585824|Purpose – To: evaluate Prospect Theory and Cumulative Prospect Theory as functional models of decision making and risk within various contexts; compare and analyze risk models and decision-making models; evaluate models of stock risk developed by Robert Engle and related models; establish whether the models are related and have the same foundations; relate risk, decision making and options theory; and develop the foundations for a new model of decision making and risk named “belief systems”. Design/methodology/approach – Critiques existing academic work in different contexts. Analyzes the shortcomings of various measures of risk, and group decision making, which was not addressed in developing Prospect Theory and Cumulative Prospect Theory. Develops the characteristics of a mew model for decision making and risk named “belief systems”, and then differentiates it from belief networks. Findings – Decision making is a multi-factor, multi-dimensional process that often requires the processing of information, and thus, it is inaccurate to impose rigid models in decision making; the existing metrics for quantifying risk are inadequate; Prospect Theory and Cumulative Prospect Theory were developed using questionable methods and data, and are impractical; the analysis of probabilistic insurance and most of the theories and “effects” developed by Kahneman and Tversky's articles are invalid and impractical; Prospect Theory, Cumulative Prospect Theory, Expected Utility Theory, and market-risk models are conceptually the same and do not account for many facets of risk and decision making; risk and decision making are better quantified and modeled using a mix of situation- specific dynamic, quantitative and qualitative factors; belief systems can better account for the multi-dimensional characteristics of risk and decision making. Research limitations/implications – Areas for further research include: development of dynamic market-risk models that incorporate asset- market psychology, liquidity, market size, frequency of trading, knowledge differences among market participants, and trading rules in each market; and further development of concepts in belief systems. Practical implications – Decision making and risk assessment are multi-criteria processes that typically require some processing of information, and thus cannot be defined accurately by rigid quantitative models; Prospect Theory and Cumulative Prospect Theory are abstract, rigid, and are not practical models for decision making; and existing market-risk models are inaccurate, and thus the international financial system may be compromised. Originality/value – The issues discussed are relevant to government regulators, central banks, judges, risk managers, executives, derivatives regulators, stock exchange regulators, legislators, psychologists, boards of directors, finance professionals, management science/operations research professionals, health-care-informatics professionals, scientists, engineers, and people in any situation that requires decision making and risk assessment. © 2005, © Emerald Group Publishing Limited.||cited By 12|Business Consultant, Brooklyn, New York, NY, United States|English|
Journal Article|article|38|Azevedo L,Gaynor TS,Shelby K,Santos G|The complexity of diversity and importance for equitable philanthropy|Nonprofit Management and Leadership|Q1|62|2021|31|3|595-607|Jossey-Bass Inc., Publishers||2021|||1048-6682|http://dx.doi.org/10.1002/nml.21448|10.1002/nml.21448|The current U.S. climate of racial and social injustice has prompted a renewed call for diverse and equitable ways to rethink community philanthropy. Community foundations are vehicles for community philanthropy which offer vast benefits for social improvement and community development. The board of directors ensures these organizations fulfill their mission, making decisions on funding priorities and holding the organization functionally and fiscally responsible. Drawing on constructs of diversity and representative bureaucracy and a case study of Florida community foundations, we suggest that diversity is understood in different ways and the presence of diverse board members may be linked to advancing the interests of diverse communities and in achieving outcomes that assist in the needs of certain social groups. Increased understanding of diversity can improve foundation and philanthropic effectiveness and bring broader social change by promoting equity and social justice among community- based philanthropic organizations. © 2020 Wiley Periodicals LLC.||cited By 10|School of Public Affairs, Penn State Harrisburg, Middletown, PA, United States; Department of Political Science, University of Cincinnati, Cincinnati, OH, United States; Marist College, Poughkeepsie, NY, United States|English|
Journal Article|article|39|Berge S,Caldwell W,Mount P|GOVERNANCE OF NINE ONTARIO FOOD CO-OPERATIVES|Annals of Public and Cooperative Economics|Q2|42|2016|87|3|457-474|Wiley-Blackwell Publishing Ltd||2016|||1370-4788|http://dx.doi.org/10.1111/apce.12134|10.1111/apce.12134|Questions on the use of current theories of governance for co-operative businesses are prevalent within the literature. This paper seeks to determine if the theory of cyclical board behavior can provide insight into the evolution of co-operative boards within food co-operatives in Ontario, Canada. To answer these questions managers from food co- operatives participated in a one-hour long, semi- structured interview providing their understanding of the governance within their co-operatives. Managers identified board member engagement, the changing role of the board and succession planning as issues of concern. Engagement level of board members varied from a lack of participation to overbearing participation, which caused tensions within the co-operative. Current governance theories do not appear to adequately explain governance within a co-operative structure. A single, universal governance framework does not address the complexities of a member owned firm. The cyclical board behavior, however, does provide insight into co-operative board evolution. © 2016 The AuthorsAnnals of Public and Cooperative Economics © 2016 CIRIEC||cited By 10|University of Winnipeg, Canada; University of Guelph, Canada; Wilfrid Laurier University, Canada|English|
Journal Article|article|40|Vij M|The emerging importance of risk management and enterprise risk management strategies in the Indian hospitality industry: Senior managements’ perspective|Worldwide Hospitality and Tourism Themes|Q2|28|2019|11|4|392-403|Emerald Group Publishing Ltd.||2019|||1755-4217|http://dx.doi.org/10.1108/WHATT-04-2019-0023|10.1108/WHATT-04-2019-0023|Purpose: The purpose of this paper is to discuss the outlook for risk management and enterprise risk management (ERM) within the hospitality sector including how ERM is being balanced with the need to innovate, and what boards of directors are doing to become more engaged in risk oversight. The implementation of ERM is about taking a strategic view of risk and linking it to business goals and value creation. Design/methodology/approach: An interviewer-administered survey was used to collect data from 33 senior risk professionals and other industry experts who had a clear understanding of both risk management and ERM. A structured and semi- structured questionnaire consisting of three sections was personally administered to 33 respondents in 2018 to collect information from risk professionals and other industry experts. Findings: It is important to create a culture of risk awareness and to incorporate risk planning into business decisions. The complexity of modern business necessitates that managers in the hospitality sector have greater skill levels than ever before. This research should help hospitality managers to better understand the core risks and link them to strategy. ERM creates an environment where the organization as a whole can support the value creation process with a sharper focus on risk management. Practical implications: The growing role of technology along with human connections is shaping the hospitality sector and redefining the travel ecosystem. Future travel experiences are likely to be influenced by a blend of technology and human experiences. Many Indian companies are applying the traditional risk management model in their businesses, while ERM is their future goal. The evolution from a traditional risk management model to ERM is challenging, and so it is important to have an appropriate framework in place for its implementation. Originality/value: Hospitality managers need to know how to proactively manage risk management and ERM as the sector is increasingly vulnerable to internal risks. ERM creates a direct linkage between risks and opportunities required for decision-making in a dynamic environment. With growing competition on a global level, the hospitality industry should aim to manage risks strategically to increase the likelihood that organizational objectives can be achieved. © 2019, Emerald Publishing Limited.||cited By 9|Faculty of Management Studies, University of Delhi, New Delhi, India|English|
Journal Article|article|41|Sanchez-Marin G,Baixauli-Soler JS|TMT pay dispersion and firm performance: The moderating role of organizational governance effectiveness|Journal of Management and Organization|Q2|43|2015|21|4|436-459|Cambridge University Press||2015|||1833-3672|http://dx.doi.org/10.1017/jmo.2014.87|10.1017/jmo.2014.87|This study supports tournament theory in relation to high levels of organizational hierarchies, indicating that the job complexity facing the top management team supposes that pay dispersion positively influences firm performance. Examining a sample of 709 firm-year observations of Spanish listed companies spanning the period 2004-2012, our results indicate that the association between firm performance and top management team pay dispersion is conditional on the effectiveness of corporate governance. High top management team pay dispersion is associated with better performance in owner- controlled firms, where more effective monitoring is exerted by the board of directors. Copyright © Cambridge University Press and Australian and New Zealand Academy of Management 2015.||cited By 9|Department of Management and Finance, University of Murcia, Murcia, Spain|English|
Conference Paper|article|42|?ener I,Varo?lu A,Aren S|Board composition and organizational performance: Environmental characteristics matter||#N/A|#N/A|2011|24||1481-1493||Paris|2011|||1877-0428|http://dx.doi.org/10.1016/j.sbspro.2011.09.130|10.1016/j.sbspro.2011.09.130|Concern for board of directors considerably increased with the recent developments in the corporate governance field. Despite that extensive research was conducted, the understanding of the board and its effects is still limited. This is mainly because that the majority of the corporate governance research focused mostly on the direct relation of board characteristics with organizational outcomes, and neglected the effect of intervening variables, leading to inconclusive research findings. Deriving on this limitation, in this study, the effect of board composition on organizational performance was investigated for different environmental conditions, which are measured in terms of munificence and dynamism of the industry in which the organizations operate and product complexity of the organizations. In addition, the moderating effects of these dimensions of organizational task environments on the relationship between board composition and organizational performance were also addressed. Building on resource dependence theory, it is suggested that under different environmental conditions, different compositions of boards will positively influence organizational performance. Based on the data from 80 companies which shares are publicly traded in Istanbul Stock Exchange, the findings indicate that the effect of board composition on organizational performance vary among different environmental conditions. © 2011 Published by Elsevier Ltd.||cited By 9; Conference of 7th International Strategic Management Conference ; Conference Date: 30 June 2011 Through 2 July 2011|Çankaya University, Ö?retmenler Caddesi No: 14 100. Yil Balgat, Ankara 06530, Turkey; Ba?kent University, Ba?lica Kampusü, Eskisehir Yolu Baglica, Ankara 06810, Turkey; Gebze Institute of Technology, Cayirova Fabrikalar Yolu No: 101 (PK 141) Cayirova Gebze, Kocaeli 41400, Turkey|English|
Journal Article|article|43|Ward JA|Power And Accountability On The Pennsylvania Railroad, 1846–1878|Business History Review|Q1|34|1975|49|1|37-59|||1975|||0007-6805|http://dx.doi.org/10.2307/3112961|10.2307/3112961|Despite attempts by the state legislature to fashion the charter of the Pennsylvania Railroad in such a way as to insure a high degree of managerial accountability to the board of directors and to make the corporation broadly accountable to the public, things turned out very differently. The volume and complexity of managerial decisions quickly brought a centralization of power in the hands of the road's professional managers as the board atrophied, and the economic and political power of the road and its dominant figures (J. Edgar Thomson and Thomas A. Scott) negated much of the principle of public accountability. © 1975, The President and Fellows of Harvard College. All rights reserved.||cited By 9|University Of Tennessee, Chattanooga, United States|English|
Journal Article|article|44|Alawaqleh QA,Almasria NA|The Effect of Board of Directors and CEO on Audit Quality: Evidence from Listed Manufacturing Firms in Jordan|Journal of Asian Finance, Economics and Business|Not yet assigned quartile|25|2021|8|2|243-253|Korea Distribution Science Association (KODISA)||2021|||2288-4637|http://dx.doi.org/10.13106/jafeb.2021.vol8.no2.0243|10.13106/jafeb.2021.vol8.no2.0243|This study aims to examine (1) the association between the chief executive officer tenure and audit quality, (2) the relationship between chief executive officer duality and audit quality, (3) the association between board independence and audit quality, (4) the relationship between board size and audit quality, and (5) the role of controlling variables (client size, leverage debt, and business complexity) in controlling these relationships. The research sample includes 325 financial reports from manufacturing firms listed in Amman Stock exchange over the 2014-2018 period. The study relationships are tested by using logistic regression. The results revealed a negative relationship, but not significant between CEO tenure and independent directors with audit quality. In addition, the results showed there is a negative effect of CEO duality on audit quality; also the results revealed that there is a statistically significant effect on the board of directors (board size) on the AQ. In general, the coefficient estimates of controlling variables show that client size and leverage debt positively affect audit quality, and on the contrary, business complexity has an insignificant positive relationship with audit quality. The summary of the study findings play an active role to external auditor opinion on business practice in towered the corporate governance system. © Copyright: The Author(s)||cited By 8|Accounting Department, College of Business, Philadelphia University, Jordan|English|
Journal Article|article|45|Diaz DA,Rees CJ|Checks and balances? Leadership configurations and governance practices of NGOs in Chile|Employee Relations|Q1|62|2020|42|5|1159-1177|Emerald Group Holdings Ltd.||2020|||0142-5455|http://dx.doi.org/10.1108/ER-08-2019-0327|10.1108/ER-08-2019-0327|Purpose: The emergence of Governance practices in the non-governmental organisation (NGO) sector has become associated with increasingly high levels of organisational complexity. In the light of an expanding civil society sector in Chile and the emergence of formalised governance practices, this paper explores the construction of the Executive Director role in Chilean NGOs with reference to organisational functions, organisational dynamics, and external influences. Design/methodology/approach: Grounded theory is used to explore qualitative data derived from a set of N = 39 interviews conducted in Chile These interviews involve NGO founders, funders, Executive Directors, scholars, consultants, and team members. Findings: The findings reveal the pivotal role played by Executive Directors in conducting organisational activities which, in other types of organisations, are often distributed across various organisational functions. The data also highlight complex dynamics involving overt compliance with external regulatory requirements, uncertainties about financial sustainability, the recruitment of Executive Board members, the exercise of power by Executive Directors, and the influence of founders in leadership configurations. Research limitations/implications: The implications of the study are discussed in relation to the governance and accountability of NGOs, the nature of the Executive Director role, the purpose of Executive Boards in the NGO sector, and the recruitment and training of Board members. It is noted that the study was conducted in the NGO sector in Chile; further research is necessary to establish the generalisability of the findings to other contexts. Originality/value: This paper addresses the shortage of organisational research on NGOs. It contributes by offering analytical perspectives on organisational processes of Leadership and Governance. This paper highlights the relationship between, and interdependency of, those processes. © 2020, Emerald Publishing Limited.||cited By 8|Global Development Institute, The University of Manchester, Manchester, United Kingdom|English|
Journal Article|article|46|Lewellyn KB,Muller-Kahle MI|The configurational effects of board monitoring and the institutional environment on CEO compensation: a country-level fuzzy-set analysis|Journal of Management and Governance|Q2|57|2016|20|4|729-757|Springer New York LLC||2016|||1385-3457|http://dx.doi.org/10.1007/s10997-015-9323-3|10.1007/s10997-015-9323-3|This study examines the causal complexity of how the effectiveness of board monitoring influences CEO compensation around the world. Previous research drawing from the managerial power theory and ‘increased career risks’ perspective offer alternative arguments for how low and high levels of effective monitoring by boards of directors influence CEO compensation. Adopting a configurational approach using fuzzy-set qualitative comparative analysis, we explore the idea that there are multiple causal paths leading to high levels of CEO compensation, such that theoretical logic from both theories may be relevant contingent upon the institutional environment in which the relationship is embedded. Our findings in a sample of 38 countries suggest that high CEO compensation is an outcome of both the presence and absence of effective board monitoring depending upon how it combines with minority investor protections and the cultural dimensions of power distance, uncertainty avoidance, and individualism, as well as the overall stock market value. Specifically, in countries with high levels of effective board monitoring, high CEO compensation will be more likely when the country’s culture is high in uncertainty avoidance, low in power distance and when there are strong protections for minority investors. Whereas in countries with low levels of effective board monitoring, high CEO compensation will be more likely when power distance is high and uncertainty avoidance is low and when there are weak protections for minority investors. Our country-level study highlights the theoretical strengths of employing a configurational approach to explore the complex interrelationships of governance mechanisms and the contexts in which they manifest. © 2015, Springer Science+Business Media New York.||cited By 8|College of Business, University of Wyoming, 1000 E. University Ave., Laramie, WY 82071, United States; The Pennsylvania State University, York, 1031 Edgecomb Ave., York, PA 17403-3326, United States|English|
Journal Article|article|47|Ahn MJ|Enhancing corporate governance in high-growth entrepreneurial firms|International Journal of Innovation and Technology Management|Q3|24|2014|11|6||World Scientific||2014|||0219-8770|http://dx.doi.org/10.1142/S0219877014500382|10.1142/S0219877014500382|This study explores how new ventures access advice to achieve high growth and sustainable performance. A relational model of three important themes - compliance (regulatory and legal governance), contacts (networks of suppliers, customers, investors), and content (strategic insights) - emerged as critical to any sustainable high-growth effort. Our findings suggest that advisory boards and boards of directors have a significant role in managing and creating value for emerging high-growth firms due to inherently high failure rates, technological complexity, and market risk - all of which requires access to external resources. © 2014 World Scientific Publishing Company.||cited By 8|Portland State University, Portland, OR, United States|English|
Journal Article|article|48|Clarke T|Dangerous frontiers in corporate governance|Journal of Management and Organization|Q2|43|2014|20|3|268-286|Cambridge University Press||2014|||1833-3672|http://dx.doi.org/10.1017/jmo.2014.37|10.1017/jmo.2014.37|The historical evolution of corporate governance is considered, highlighting the different eras of governance, the dominant theoretical and practical paradigms, the reformulation of paradigms and counter paradigms. Two alternative and sharply contrasting theorizations, one collective and collaborative (the work of Berle and Means), the other individualistic and contractual (agency theory and shareholder value) are focused upon. The explanatory potential of Blair and Stout's team production theory is elaborated, and its conception of the complexity of business enterprise, with a mediating hierarch (the board of directors) securing a balance between the interests of different stakeholders. The potential for reform of corporate purpose, corporate governance and directors' duties is examined with reference to the UK Modern Company Law Review. The impact of the intensification of the financialization of corporations is analysed, with the increased emphasis upon short-termism. The origins of the global financial crisis in shareholder value orientations and the continuing reverberations of the crisis are explored. Finally, the imperative of the advance of sustainable enterprise is argued, and the critical changes necessitated in corporate purpose and directors' duties. Copyright © Cambridge University Press and Australian and New Zealand Academy of Management 2014.||cited By 8|UTS Business School, Centre for Corporate Governance, UTS Sydney, Australia|English|
Journal Article|article|49|Harris L|The politics of shareholder voting|New York University Law Review|Q1|57|2011|86|6|1761-1813|||2011|||0028-7881|||Economic theory that suggests underperforming boards of directors should be fearful of an ouster vote by shareholders underappreciates the complexity of shareholder voting decisions. Skill at enhancing firm value has less to do with whether directors win votes and stay at the helm of public companies than previous commentators have presumed. Instead, like incumbent politicians, managers of some of the largest U.S. firms tend to stay in charge of firms because they understand-and take advantage of-the political dynamics of corporate voting. This Article presents a competing theory of shareholder voting decisions, one that suggests that shareholder voting in corporate elections is not dissimilar from citizen voting in political elections. Next, the Article presents the evidence. Using a hand- collected dataset from recent board elections, the Article compares the explanatory power of a standard economic variable (long-term stock price returns) and a political variable (money budgeted for campaigning) on election outcomes. Based on the data, directors' ability to enhance firm value (as measured by stock price returns) is not significantly related to whether they win reelection. Rather, the likelihood of being returned to office appears to be a function of typical election politics-how much was spent by challengers to persuade shareholder voters. These findings have at least two implications. First, the theory that shareholder voting may be politicized helps point the way to how the SEC ought to craft reforms-and, just as important, how not to craft them. Recent SEC reform efforts have the laudable goals of creating new conduits for shareholders to participate in firm affairs, increasing shareholder-nominated candidate success, and disciplining incumbent managers. The results of this study suggest that these reforms will not achieve the stated goals. Even with these reforms, the board continues to have an important political advantage, which likely translates into real votes. As the research here shows, the outcome of elections depends on persuasion and, not simply, as the SEC contends, on shareholders' director nominees being presented alongside those of management. Second, the evidence and theory about shareholder voting presented here has significant implications for understanding mergers and acquisitions, particularly hostile acquisitions. The theory is that acquirers have steep incentives to target firms with poor performance. In most cases, however, such acquisitions depend on winning a vote from shareholders. Thus, if there is any disciplinary effect created by the prospect of takeovers, it depends crucially on understanding what motivates shareholder voting behavior. If voting shareholders respond to political motivations, not economic ones, then the performance of target board members might not be as relevant as takeover theorists had previously surmised. © 2011 by Lee Harris.||cited By 8|University of Memphis Law School, Yale Law School, United States|English|
Journal Article|article|50|Migliore LA,DeClouette AH|Perceptions of trust in the boardroom: A conceptual model|Journal of Leadership and Organizational Studies|Q1|54|2011|18|3|320-333|SAGE Publications Inc.||2011|||1548-0518|http://dx.doi.org/10.1177/1548051811404893|10.1177/1548051811404893|The theoretical framework for a comprehensive trust model is presented using McAllister's affect- and cognitive-based trust model and Siegrist, Earle, and Gutscher's trust-confidence-cooperation model as the foundation. The enhanced model includes cognitive and affective domains of personality, culture, motivation, reliability, competence, and intuition (as a latent variable) to measure perception of trust between two individuals. The model applies the intercognition of self-leadership for improving trust and building effective relationships within boards of directors. Furthermore, the authors consider the multiplicity of board of director roles and how such complexity affects formation and maintenance of optimal trust. © Baker College 2011.||cited By 8|University of Phoenix, Phoenix, AZ, United States; Abundant Knowledge, LLC, P.O. Box 326, Bloomfield Hills, Metamora, MI 48455, United States; Oklahoma State University, Oklahoma City, OK, United States|English|
Journal Article|article|51|Reed R,Storrud-Barnes SF|Uncertainty, risk, and real options: Who wins, who loses?|Management Decision|Q1|116|2010|48|7|1080-1089|||2010|||0025-1747|http://dx.doi.org/10.1108/00251741011068789|10.1108/00251741011068789|Purpose: Real-options have moved from being an academic theory to a decision-making tool that is being used by managers. The thinking underpinning real options has remained true to its financial options-pricing heritage, which means that it is based on an assumption of managerial risk- neutrality. Managers can be risk-seeking or risk- averse, depending on whether or not they are meeting performance targets. This paper aims to explore the questions of what happens when the assumption of risk neutrality is relaxed and how the outcomes of managerial decisions on investments affect the firm's stockholders and bondholders. Design/methodology/approach: The work is conceptual in its approach. Findings: Managers, stockholders, or bondholders do not lose when managers are performing above target and when environmental uncertainty is high, or below target when environmental uncertainty is low, but managers win at the expense of stockholders when they are meeting performance targets and uncertainty is low, and managers win at the expense of bondholders when they are performing below target and uncertainty is high. Research limitations/implications: Propositions are provided for subsequent empirical testing. The paper holds environmental complexity and munificence constant, but discusses the implication of that in the conclusions. Practical implications: The research has implications for shareholders and bondholders. It also has implications for Boards of Directors and the actions they take within their monitoring and control duties. Originality/value: Because the paper is able to separate the constructs of uncertainty and risk, this is the first work that has been able to fully relax the assumption of risk neutrality that underpins real-options theory. © Emerald Group Publishing Limited.||cited By 8|Center for Entrepreneurial Studies, College of Business, Washington State University, Pullman, WA, United States; Management and Labor Relations Department, Nance College of Business Administration, Cleveland State University, Cleveland, OH, United States|English|
Journal Article|article|52|Wu J,Triana MD,Richard OC,Yu L|Gender Faultline Strength on Boards of Directors and Strategic Change: The Role of Environmental Conditions|Group and Organization Management|Q1|97|2021|46|3|564-601|SAGE Publications Inc.||2021|||1059-6011|http://dx.doi.org/10.1177/1059601121992889|10.1177/1059601121992889|Drawing on the notion of “faultlines” and the upper echelons perspective, we argue that the gender faultline strength of a board of directors is negatively related to strategic change. More interestingly, while gender faultline strength negatively relates to strategic change under low levels of environmental complexity, environmental dynamism, and environmental munificence, it is positively related to strategic change when environmental complexity, environmental dynamism, and environmental munificence are at high levels. The analyses of panel data of 5781 firm-year observations of 1171 Chinese firms provide support for the hypotheses. © The Author(s) 2021.||cited By 7|King’s College, University of Aberdeen Business School, Aberdeen, United Kingdom; Vanderbilt University, Nashville, TN, United States; University of Massachusetts-Amherst, Amherst, MA, United States; University of Macau, Taipa, Macau|English|
Journal Article|article|53|D. Kolev K,Hughes-Morgan M,Rehbein K|The Role of Female Directors in the Boardroom: Examining Their Impact on Competitive Dynamics|Business and Society|Q1|90|2021|60|4|811-843|SAGE Publications Ltd||2021|||0007-6503|http://dx.doi.org/10.1177/0007650319847477|10.1177/0007650319847477|This study contributes simultaneously to research on women board members and competitive dynamics by investigating two unresolved research questions: What is the effect of female directors on the firm’s competitive repertoire? Under what conditions is this effect more pronounced? Leveraging the “Awareness-Motivation-Capability” (AMC) framework, we predict that having women on the board of directors should impact the complexity, heterogeneity, and volume of the firm’s competitive moves. Relying upon a sample of U.S. pharmaceutical firms for the years 2000 to 2017, we find that adding female directors on the board positively affects the complexity and volume of a firm’s competitive moves, but negatively impacts the heterogeneity of competitive actions. In addition, the presence of a female CEO moderates these effects, leading to more complex competitive actions and increased volume. Thus, our study lends a greater understanding of how female board members influence competitive dynamics and shape the strategic direction of the firm. © The Author(s) 2019.||cited By 7|Marquette University, Milwaukee, WI, United States|English|
