Item type|Authors|quartil|Editors|Title|Journal|Publication year|Volume|Issue|Pages|Publisher|Address|Date published|ISBN|ISBN (alt.)|ISSN|URLs|DOI|Abstract|Keywords|Notes|Affiliation|Language|Pages cited
Journal Article|Mccole P,Morrow T,Ponsonby S,Kelly B|Sorry, no results were found.||The potential training impact of technology on SMEs in Northern Ireland|Journal of European Industrial Training|2001|25||90-97|||2001|||0309-0590|http://dx.doi.org/10.1108/EUM0000000005440|10.1108/EUM0000000005440|The rapid development of technology and the consequent change in working practices require a dramatically different approach towards training and development in organisations than has traditionally been the case. A review of the literature reveals a negative attitude towards training and development in SMEs, with long-term strategy being substituted for short-term financial gain. Our results confirm this conjecture that the same holds true in Northern Ireland, which is witnessing rapid technological advancement. This article lays the foundations for a body of work which will provide greater insights into training and development needs in SMEs. © 2001, MCB UP Limited||cited By 8|Magee College, University of Ulster, Londonderry, United Kingdom|English|
Journal Article|Cuevas-Vargas H,Parga-Montoya N,Estrada S|Q4||Incidence of marketing innovation on business performance: An application based on structural equation modeling [Incidencia de la innovación en marketing en el rendimiento empresarial: Una aplicación basada en modelamiento con ecuaciones estructurales]|Estudios Gerenciales|2020|36|154|66-79|Universidad Icesi||2020|||0123-5923|http://dx.doi.org/10.18046/j.estger.2020.154.3475|10.18046/j.estger.2020.154.3475|Small and medium-sized enterprises (SMEs) have developed a marketing capability that differs from the conventional one. Most of the literature has neglected marketing innovation, because it is considered an accident or implicit in other types of activities, and only recently it has been associated with competitiveness. The aim of this research was to verify the relationship of marketing innovation with the integral performance of SMEs, and their possible implications. Through the structural equations modeling, the effects of this innovation on business performance were estimated. The findings revealed its significant influence to guide business performance, by implementing new concepts and means of promotion, new methods of commercialization, and modifications to its packaging, influencing mostly in the commercial part, but also affecting the administrative, financial and human resources scope. © 2020 Universidad ICESI.||cited By 7|Departamento de Innovación de Negocios y Mercadotecnia, Universidad Tecnológica del Suroeste de Guanajuato, Valle de Santiago, Mexico; Departamento de Agronegocios, Universidad Autónoma de Aguascalientes, Aguascalientes, Mexico; Departamento de Finanzas y Administración, Universidad de Guanajuato, Celaya, Mexico|Spanish|
Journal Article|Park C,McQuaid R,Lee J,Kim S,Lee I|SALE OTRA DIFERENTE||The impact of job retention on continuous growth of engineering and informational technology SMEs in South Korea|Sustainability (Switzerland)|2019|11|18||MDPI||2019|||2071-1050|http://dx.doi.org/10.3390/su11185005|10.3390/su11185005|This study aims to explore what factors are critically associated with job retention in Engineering and Information Technology small- and medium-sized enterprises (SMEs) in South Korea, and how employers think about staff retention policy in relation to business growth. This contrasts with previous studies that mainly focus on employee motivation, job retention, and turnover. Qualitative semi-structured interviews were conducted face-to- face with founder Chief Executive Officers (CEOs). The results suggest that an important factor influencing job retention policies of these SMEs was to motivate employees to make greater voluntary effort, including through developing a collaborative organizational culture, rather than solely offering them additional financial rewards or using other Human Resource Management (HRM) practices to improve individual performances. Interviewees believed that job retention and business growth were closely related, and they discussed various ways of eliciting emotional commitment from employees. Unlike research on larger firms, these suggestions did not involve immediate financial rewards. How employers thought that the roles played by employees strongly influenced their firm's productivity and competitiveness. This study suggests SME employers adjust their retention policy specifically to improve their firm's survival and long-term growth. © 2019 by the authors.|business development; engineering; firm size; growth rate; human resource; information technology; labor policy; perception; resource management; small and medium-sized enterprise, South Korea|cited By 7|Management Work and Organization Division, Stirling Management School, University of Stirling, Scotland, FK9 4LA, United Kingdom; Department of Business Administration, Sogang University, Seoul, 04107, South Korea|English|
Journal Article|Pillai RN|Q2||Inventory management performance in machine tool SMEs: What factors do influence them?|Journal of Industrial Engineering and Management|2010|3|3|542-560|||2010|||2013-8423|http://dx.doi.org/10.3926/jiem.2010.v3n3|10.3926/jiem.2010.v3n3|Small and Medium Enterprises (SMEs) are one of the principal driving forces in the development of an economy because of its significant contribution in terms of number of enterprises, employment, output and exports in most developing as well as developed countries. But SMEs, particularly in developing countries like India, face constraints in key areas such as technology, finance, marketing and human resources. Moreover these SMEs have been exposed to intense competition since early 1990s because of globalization. However, globalization, the process of continuing integration of the countries in the world has opened up new opportunities for SMEs of developing countries to cater to wider international market which brings out the need for these SMEs to develop competitiveness for their survival as well as growth. It is observed from literature that pursuing appropriate IM practice is one of the ways of acquiring competitiveness among others, by effectively managing and minimizing inventory investment. Inventory management can therefore be one of the crucial determinants of competitiveness as well as operational performance of SMEs in inventory intensive manufacturing industries. The key issue is whether Indian SMEs pursue better IM practices with an intension to reduce their inventory cost and enhance their competitiveness. If so, what are the IM practices pursued by these enterprises? What are the factors which influence the inventory cost and IM performance of enterprises? These questions have been addressed in this study with reference to machine tool SMEs located in the city of Bangalore, India.|Bangalore , India; Developed countries; Driving forces; Human resources; IM practices; International markets; Inventory costs; Inventory investment; Inventory management; Key issues; Manufacturing industries; New opportunities; Operational performance; Small and medium enterprise, Competition; Costs; Developing countries; Economics; International trade; Inventory control; Machine tools, Industry|cited By 7|Indian Institute of Science, India|English|
Journal Article|Memon SB,Rohra CL,Lal P|Not yet assigned quartile||Critical analysis of the performance management system (pms) in SMEs of karachi|Australian Journal of Basic and Applied Sciences|2010|4|6|1495-1503|||2010|||1991-8178|||In the midst of global financial slump SMEs of developing & developed economies appear to be a center of gravity for researchers and management practitioners and advent of globalization exaggerate its role indeed. In this situation only hundred percent exploitation of financial, human and technological potential of SMEs make certain the competitiveness and growth possibilities. Relatively little research has been conducted on performance management system in Pakistani SMEs. This study is more focused headed for investigating the PMS implementation and post implementation effects in small firms. Performance Management (PM) is a process for establishing a shared understanding about what needs to be achieved. It is an approach to managing people that increases the level of personal performance and business success. Any organization with suitable performance management system increase employer conviction that it has the right people in the right place at the right time. Performance management must consist of two basic components one is talent exploitation and preservation and second is performance feedback mechanism. In an organizational perspective one thing is quiet evident that maturity of employer- employee relationship depends upon employee job satisfaction and performance and conceptually job satisfaction and performance is directly proportional to each other. The dominant findings indicate that, SMEs in Pakistan are generally less likely to adopt 'formal' PMS practices, including setting goals, monitoring performance and performance evaluation practices. Similarly, they have not formulated 'formal' HR policy and human resource departments usually pursue traditional means of basic HR functions such as employee recruitment, training and compensation. However, from statistical results of textile sector small and medium enterprises exposed that employees do not have a clear understanding of what performance management system aim to achieve similarly big number of employees consider that performance appraisal is not aligned with organizational goals it has no functionality in employee career planning or progression. © 2010, INSInet Publication.||cited By 7|Department of Business Administration SALU, Khairpur, Pakistan|English|
Journal Article|Pollard D,Svarcova J|Q3||Promoting knowledge transfer to Czech SMEs: The role of human resource development in increasing absorptive capacity|International Journal of Entrepreneurship and Small Business|2009|8|4|499-515|Inderscience Publishers||2009|||1476-1297|http://dx.doi.org/10.1504/IJESB.2009.025695|10.1504/IJESB.2009.025695|The development of a viable and vibrant Small- and Medium-sized Enterprise (SME) sector has been widely recognised as vital for sustaining the process of economic transformation in East and Central Europe (ECE). Owing to the high rate of change in competitive dynamics within transformation economies, SMEs seek to develop new knowledge themselves or, more likely, transfer, adapt and implement new knowledge obtained from outside sources in order to increase their competitiveness. The effectiveness of identifying and transferring new knowledge and best practice depends to an extent on the level of absorptive capacity of the organisation, which, it can be argued, is strongly related to its inherent level of Human Resource Development (HRD). This paper reports the initial results of a research project which investigates the priorities for HRD in SMEs to enable managers to identify, transfer, assess and implement new knowledge gained through access to external sources. The study identifies significant differences between HRD priorities identified by management and the preferences of employees and potential employees in the form of undergraduate business students. The conclusions indicate that firms should consider the importance of both their own and employees' motivational factors in managing knowledge transfer mechanisms. Copyright © 2009, Inderscience Publishers.||cited By 7|Leeds Metropolitan University, Headingley Campus, Leeds LS6 3QL, United Kingdom; Tomas Bata University in Zlin, Mostni 5139, 760 01 Zlin, Czech Republic|English|
Book|Šušnjar GŠ,Slavić A,Berber N,Leković B|0||The role of human resource management in small and medium sized companies in Central-Eastern Europe||2016||||Springer International Publishing||2016|9,78332E+12|9,78332E+12||http://dx.doi.org/10.1007/978-3-319-28856-7_12|10.1007/978-3-319-28856-7_12|Human resource management (HRM) in contemporary economics is linked to a company’s success measured through numerous organizational measures (profitability, productivity, rate of innovation, market share, environmental performances, etc.). The role of HRM in large enterprises is relatively known, especially when the competitiveness and sustainable development are in question. On the other hand, small entrepreneurial and medium sized (SME) companies have not been greatly studied in relation to the HRM in the past. Although there is a lack of literature and empirical research in this area, several studies in the past decade and recent years emphasized the importance of the HRM for the survival and success of the SMEs. The reason why more and more authors today are arguing about the success of the SMEs is the perceived advantages of SMEs in a turbulent and unpredictable business environment. SMEs are seen as the driving force for vulnerable economies, a source of innovation, employment, and flexibility. Bearing in mind SMEs and their advantages, the authors have focused their attention on the economies in the Central and Eastern Europe countries (Slovenia, Serbia, Hungary and Bulgaria) where the SMEs are recognized as potential possibilities for economic recovery and development. Since human capital is recognized as one of the most important factors of enterprise success, the aim of this work was to explore the role of HRM in SMEs in the economies of Serbia, Bulgaria, Hungary and Slovenia, to determine the type of linkage between HRM and the success of small and medium-sized companies that operate in the CEE region, in light of the Cranet 2008/2010 survey data. The objective in this chapter was the exploration of the existence of organizations’ business strategy and HR strategy in SMEs, as well as HR departments, and the role of HRM in the business of the SMEs. The special task in this research was the exploration of the HRM activities and trends (recruitment, selection, compensation, performance management, training and development, human resource information system, etc.) that are present in the SMEs in the CEE region. The ranking of the SMEs’ performances is also presented and the relations between the existence of HRM and the several performance measures in these companies. Descriptive statistical methods, t-test of independent samples and ANOVAs tests have been used during quantitative analysis to explore the presented relations. © Springer International Publishing Switzerland 2016.||cited By 6|University of Novi Sad, Faculty of Economics, Subotica, Serbia|English|205-229
Journal Article|Pueo M,Santolaria J,Acero R,Sierra-Pérez J|Q1||Design methodology for production systems retrofit in SMEs|International Journal of Production Research|2020|58|14|4306-4324|Taylor and Francis Ltd.||2020|||0020-7543|http://dx.doi.org/10.1080/00207543.2019.1651460|10.1080/00207543.2019.1651460|Investment in the productive systems of small and medium-sized enterprises (SMEs) in the manufacturing sector is usually quite limited. For this reason, normal practice is to apply minor developments internally or upgrade equipment as it becomes obsolete to increase their productive capacity and competitiveness at a lower cost. However, the work team, mostly made up of engineers, does not usually have experience in the use of design methodologies but also they are often familiar with the functioning of various design and quality-management tools. This paper presents a clear and simple design methodology that facilitates the development of adaptations to items of equipment that might be considered one-off products. It includes a selection of design tools that are, according to the literature on the subject, the most common and best- known among engineers, and which are also best- suited to the environment of an SME. The design methodology was validated experimentally with the upgrading of a gear-rolling tester installed on the premises of an SME in the sector. The recommended techniques and tools were satisfactory applied opening the possibilities for further application of the methodology in similar machine’s upgrades in the future. © 2019, © 2019 Informa UK Limited, trading as Taylor & Francis Group.|Economics; Human resource management; Manufacture; Quality management, Design method; Manufacturing sector; one-off product; Quality management tools; Small and medium-sized enterprise; SMEs; Systematic designs; Techniques and tools, Product design|cited By 5|Centro Universitario de la Defensa, Academia General Militar, Zaragoza, Spain; Department of Design and Manufacturing Engineering, University of Zaragoza, Zaragoza, Spain|English|
Journal Article|Moreno Charris AV,Chang Muñoz E,Romero de Cuba J|Q3||Labor satisfaction in colombian smes in the textile- clothing sector [Satisfacción laboral en las pyme colombianas del sector textil-confección]|Revista Venezolana de Gerencia|2018|23|82||Universidad del Zulia||2018|||1315-9984|||THe aim of this article is to analyze the satisfaction of the employees of the dressmaking- textile sector exporting SMEs of Barranquilla, Colombia. THe theoretical perspective was mainly oriented from the study made by Robbins and Judge (2009). In this sense, a research based on the quantitative paradigm was developed, with a non- experimental transectional design, for which a census formed by the 19 exporting SMEs of the sector was carried out. THe data was processed by the use of central tendency measures, evidencing that the indicators below the established average are the variety of work, the recognition of performance, safety, permanence, opportunities and relationship with the companions; on the contrary, the indicators referring to salary, structure and labor flexibility, reached the highest levels of satisfaction. It is concluded that the global effects in this sector require the definition of strategies made by Colombian companies, aimed at enhancing job satisfaction, considering human resource as the most important factor in competitiveness. © 2018, Universidad del Zulia. All rights reserved.|clothing industry; competitiveness; human resource; labor; small and medium-sized enterprise; textile industry, Atlantico; Barranquilla; Colombia|cited By 5|Universidad de la Costa CUC, Colombia; Instituto de Investigaciones “Econ, Venezuela|Spanish|
Journal Article|Sung S,Rhee J,Yoon J|Q1||Learning Organisation Activities and Innovativeness of Tech-based SMEs within Korean Technoparks: The Mediating Role of Learning Transfer|Science, Technology and Society|2016|21|3|410-434|Sage Publications India Pvt. Ltd||2016|||0971-7218|http://dx.doi.org/10.1177/0971721816666120|10.1177/0971721816666120|Developing talented human resources through learning entails nurturing innovation and improving competitiveness; to achieve innovation, tech-based SMEs within or around Korean technoparks must undertake learning organisation activities (LOAs). Our results demonstrate that six dimensions of the LOA model have more validity or a better model fit than the previous seven dimensions of the LOA model. Furthermore, three important sub-variables of LOAs (i.e., creating continuous learning opportunities, establishing systems to capture and share learning and providing strategic leadership for learning) have a positive and significant effect on learning transfer. Finally, transferring LOAs was found to mediate the relationship between LOAs and innovativeness by creating continuous learning opportunities (and future directions) and by providing strategic leadership for learning. © 2016, © 2016 SAGE Publications.|competitiveness; industrial competition; innovation; leadership; learning; science and technology; small and medium-sized enterprise; strategic approach; technological development; technology transfer, South Korea|cited By 5|POSTECH, Lab 413 Science Building 4, 77 Cheongam-ro, Nam-gu, Pohang-city, South Korea; Yeungnam University, Lab 332 School of Business, 280 Daehak- Ro, Gyeongsan, Gyeongbuk, South Korea; POSTECH, Lab 327 Science Building 4, 77 Cheongam-ro, Nam-gu, Pohang-city, South Korea|English|
Conference Paper|Alawneh AA,Abuali A,Almarabeh TY|0||The role of knowledge management in enhancing the competitiveness of Small and Medium-Sized Enterprises (SMEs)||2009|1-3||1077-1088|International Business Information Management Association, IBIMA|Cairo|2009||||||"Knowledge is one of the enterprise's most important assets that influence its competitiveness. One way to capture an enterprise's knowledge and make it available to all its members is through the use of knowledge management practices. This paper discusses the importance of knowledge management (KM) in Small and medium-sized enterprises (SMEs) and presents a framework to deal with knowledge management in order to enhance their competitiveness. Small and medium- sized enterprises (SMEs) are known for too much implicit knowledge, limited resources, insufficiently shared between managers and other employees. So, in the context of SMEs, KM can be used to capture knowledge and experience generated during their operations, activities, and processes. This research paper addresses a new way of thinking about the role of KM in SMEs through developing a framework that combines five phases of the KM lifecycle (capture, creation, codification, communication, and capitalization). This framework is called ""A Five C's Knowledge Management Framework"". The application of this framework will improve the success rate and competitiveness of SMEs."|Competition; Human resource management; Knowledge management, Implicit knowledge; Knowledge (K); Knowledge and experience; Knowledge management framework; Knowledge management practices; Organizational memory; Research papers; Small and medium-sized enterprise, Industry|cited By 5; Conference of 11th International Business Information Management Association Conference, IBIMA 2009 ; Conference Date: 4 January 2009 Through 6 January 2009; Conference Code:104414|Philadelphia University, Amman, Jordan|English|
Journal Article|Todericiu R|Q3||The Impact of Intellectual Capital on the SMEs Performance: A Study of the Romanian Central Region SMEs|Studies in Business and Economics|2021|16|1|198-209|Sciendo||2021|||1842-4120|http://dx.doi.org/10.2478/sbe-2021-0016|10.2478/sbe-2021-0016|The 21st century is the century of change and maybe one of the most important changes in the organizations' life is the transition from focusing on the development of the tangible assets to the development of the intangible assets and the interest for attracting human resources capable to generate performance. The survival of many companies depends on their willingness and capacity to adapt to such changes. (Abdulaali, 2018) In this dynamic and complex economic system, the intangible assets of organizations become primary, being decisive for the organizations' performance. In the new economic competition, intangible assets provide a sustainable competitive advantage, intellectual capital and intangible assets representing the key factor in company profitability and success. In the knowledge based society, intellectual capital has more value for organizations than tangible assets and knowledge becomes a permanent source of competitiveness (Bhatti, Zaheer, 2014). It is considered by specialists a valuable and strategic resource, since the success of organizations depends on creating, discovering, storing, disseminating, measuring and developing knowledge. The main objective of the research presented in this paper is to offer an overview on the specific problems and needs of the entrepreneurs financed through the Romania Start-up Plus programme, part of Start-UP Hub: The Entrepreneurs Laboratory Cod SIMS: 105648. A primary target of this research is to examine the components of intellectual capital and the way in which the intellectual capital influences the small business performance. The majority of the researchers agree that intellectual capital is directly connected to the performance of the SMEs sector. The results of our analysis shows the fact that intangible assets influence business development in various ways, such as increasing competitive advantage, expanding employee competency and improving organizational performance. © 2021 Ramona Todericiu, published by Sciendo 2021.||cited By 4|Lucian Blaga University of Sibiu, Romania|English|
Journal Article|Cuéllar Molina D,Déniz-Déniz MC,García- Cabrera AM|Q1||The HR decision-maker’s emotional intelligence and SME performance|Management Research Review|2020|43|1|56-81|Emerald Group Holdings Ltd.||2020|||2040-8269|http://dx.doi.org/10.1108/MRR-10-2018-0373|10.1108/MRR-10-2018-0373|Purpose: This paper aims to examine the influence of the emotional intelligence (EI) of the human resources (HR) decision-maker on firm performance in small and medium-sized enterprises (SMEs), as well as the possible mediating role of the use of a system of HR practices in that relationship. Design/methodology/approach: The research involves a sample of 157 managers responsible for HR in SMEs. SMEs are examined because in these firms, decisions are not usually adopted on a collegiate basis. It makes these firms an ideal context for studying the relationship between HR decision-maker’s EI and firm performance. Findings: Results show that the HR decision-maker’s EI determines firm performance in terms of generation of valuable HR and financial outcomes. They also confirm the mediating role of the system of HR practices in that relationship. Research limitations/implications: This research suggests that an adequate understanding of the importance of EI can guide efforts to boost SMEs competitiveness. Thus, as SMEs are an important part of the business fabric in the majority of developed economies, the implications of this study are significant. Originality/value: Findings in this research suggest that the workplace is not managed exclusively on a cognitive basis since emotional competences may play an important role in the HR management and SMEs’ performance. © 2019, Emerald Publishing Limited.||cited By 4|Facultad de Economía, Empresa y Turismo, Universidad de Las Palmas de Gran Canaria – Campus de Tafira, Las Palmas de Gran Canaria, Spain|English|
Journal Article|Kozubíková L,Zámečník R,Výstupová L|Q3||The perception of human resource risks in the v4 countries [Postrzeganie ryzyka zasobów ludzkich w krajach v4]|Polish Journal of Management Studies|2020|21|2|210-222|Czestochowa University of Technology||2020|||2081-7452|http://dx.doi.org/10.17512/pjms.2020.21.2.15|10.17512/pjms.2020.21.2.15|Human capital is considered to be leading to the growth of innovation and it plays an important role in economic development and firms’ competitiveness. For this reason, the perception of different human resource (HR) risks and establishing a suitable and effective HR risk management system is an up-to-date issue. The aim of this paper is to evaluate the most important sources of HR risks in the V4 countries and to find out the statistically significant differences in the perception of HR risk sources between the V4 countries. To collect the data in the years 2017 and 2018, an online questionnaire was used. To evaluate the intensity of the HR risk sources and to find out the differences between the V4 countries, the methods of Chi-square test and Z-score of P-value were used. The results showed that a high employee turnover rate, insufficient employee qualification, low work morale and discipline are perceived relatively most intensely in Hungary compared to other V4 countries, when “low work morale and discipline” is perceived most intensely out of all four HR risk sources studied. „Employee mistakes” are perceived statistically significantly more intensely in Poland compared to the Czech Republic and Slovakia. © 2020, Czestochowa University of Technology. All rights reserved.||cited By 4|Tomas Bata University in Zlín, Faculty of Management and Economics, Czech Republic|English|
Journal Article|Remi S|Q1||Dimensionality of intra-organizational conflict and the challenges for human resource management in small and medium scale enterprises in Nigeria|Journal of Competitiveness|2018|10|1|125-143|Tomas Bata University in Zlín||2018|||1804-171X|http://dx.doi.org/10.7441/joc.2018.01.08|10.7441/joc.2018.01.08|There is a reasonable level of acceptance amongst policy makers, academia and international development agencies of the criticality of Small and Medium-sized Enterprises (SMEs) as important agents of development particularly in employment and income generation and the provision of goods and services. Successive governments in Nigeria continue to promote policies and agendas targeted to raise the competitiveness of the sector as part of the diversification of the economy and promote foreign direct investment (FDI). These efforts are yet to manifest in any significant reduction in importation of basic goods as well as double-digit unemployment rate. Several studies have focused on aspects of SME's performance with a sparse attention to the criticality of the impacts of conflict in the performance of the organisations leading to a wide gap in knowledge as to whether a conflict situation actually occurs in the SMEs, and if they do, how do they manifest? What are the impacts on performance and how effective are the administrative tools for managing them? This study attempts to bridge this gap. We adopt a survey method using a sample of 224 employees across a spectrum of industries located in Lagos, Ogun and Kwara States of the Federation of the Republic of Nigeria. While the prevalence of conflict was established in the study amongst the employees, compensation, reward and performance rating issues are most frequent sources of the conflict with behavioural manifestation including productivity scale down, battering the reputation and image of the employers as well as discouraging potential applicants. The study also found that most of the administrative tools to manage conflict are not considered very effective while a variation in the gender awareness to conflict was observed at the level of statistical significance. The study recommends conflict minimization strategies through a proper goal definition, conflict management skill upgrades with training, open communication, fair reward and compensation system. The risk of of the error occurrence is examined from the accountants' perspective. For this purpose, a questionnaire survey was used for data collection focusing on areas that are considered to be the most important by the accountants and the areas which are the most problematic. © 2018 Journal of Competitiveness.||cited By 4|Department of Employment Relations and Human Resource Management, Faculty of Business Administration, University of Lagos, Lagos, Akoka, Nigeria|English|
Journal Article|Faisal S,Sulphey MM|Not yet assigned quartile||A study to identify the human resource problems as perceived by employees of Small and Medium Enterprises sector In India|Journal of Advanced Research in Dynamical and Control Systems|2018|10||7-14|Institute of Advanced Scientific Research, Inc.||2018|||1943-023X|||Small and Medium Enterprises (SMEs) enjoy a prime position in any economy. Subsequent to globalization, competitiveness has been established as the predominant factor in the markets. This has taken away all protection henceforth enjoyed by SMEs. Due to acute competition, SMEs are now facing a host of problems, including HR issues. A number of studies have examined various issues pertaining to SMEs. However, HR issues are yet to get the due focus. Though many studies have examined HR issues in SMEs, there exists substantial gap in literature in this area. The present study attempts to address this gap in literature. The study conducted in the state of Uttar Pradesh in India, collected data from a sample of 400 SME employees. Through Factor Analysis, the study has identified four factors that the employees perceive as problems faced by them. It is expected that the present work will trigger more works in the HR issues of SMEs. © 2018, Institute of Advanced Scientific Research, Inc. All right reserved.||cited By 4|Department of HRM, College of Business Administration, Prince Sattam Bin Abdul Aziz University, Al Kharj, Saudi Arabia|English|
Journal Article|Patalas-Maliszewska J,Hochmeister M|Q2||Modeling strategic-knowledge-resource management based on individual competencies in SMEs|Contemporary Economics|2011|5|2|72-79|University of Finance and Management in Warsaw||2011|||2084-0845|http://dx.doi.org/10.5709/ce.1897-9254.13|10.5709/ce.1897-9254.13|A number of publications have dealt with the correlation between knowledge-management capability and competitiveness. In the article describing human resources as strategic-knowledge resources, which is motivated by: the concept of effective management of resources in an organization (Sirmon and Hitt, 2003), an enterprise's unique potential in the form of knowledge and experience (Barney, 1995), and the concept of competence management (Hamel and Prahalad, 1994). This study describes competence and resource management, sharing in the collaborative development and implementation of strategic- knowledge-resource management in SMEs. In this context, strategic-knowledge resources are defined in such a way as to be incorporated into a model of strategic-knowledge-resource management.||cited By 4|University of Zielona Gora, Poland; Vienna University of Technology, Austria|English|
Journal Article|Buěk M|Q4||Regional integration of the Slovak republic: A strategy of the European Union support utilization [Reglonálna integrácia Slovenskej republiky: Stratégla využitla podpory Európskej únle]|Ekonomicky casopis|2003|51|8|982-996|Slovak Academic Press Ltd||2003|||0013-3035|||"The socio-economic dimensions of disparities, the long duration of regional equalisation processes and its political sensitivity require regional policy to become one of the core policies of the government. The second pillar of its successfulness is active participation of regional and local self- governments. In this article, we recommend to realise a growth-equalising strategy for the Slovak conditions after the SR accession. The growth- equalising strategy of regional policy should in our conditions: • Support and keep in growth the regional centres (developed agglomerations) that are decisive carriers of national-economy growth and create not only development resources in the Slovak economy but also a pro-growth environment for the equalisation of regions lagging behind; this part of the overall strategy is called growth-equalising strategy focusing on regional centres of national- economy growth (developed regions). These urban agglomerations are concerned: Bratislava - Trnava, Trenčín, Žilina - Martin, Poprad, Košice - Prešov and Banská Bystrica - Zvolen and the region of the city of Nitra. • Remove negative consequences of production decrement and adaptation to the new market conditions in the regions lagging behind, together with the support of localisation, revitalisation of the regions with deformed demographic and professional structure (the threat of social and economic degradation and marginalisation). This part of the overall strategy is called growth-equalising strategy focusing on regional centres in regions lagging behind. Urban centres must be the carriers of development also in such regions. In NUTS II. Western Slovakia the development of agglomeration Nové Zámky - Komárno is concerned, in the region of Central Slovakia - the development of the towns of Lučenec - Rimavská Sobota and in the East Slovakia region the development of the agglomeration Humenné - Vranov. • Both parts of the overall strategy should be implemented with a non-scattered concentrating model. The practice of regional development proved sufficiently that dispersing of funds, ""strewing"" an area with investments is a short term solution failing to provide long term changes of regional structures. In order to pursue effective use of national resources and, in particular, resources from the EU structural funds, the assumption that in the first after-accession stage (approximately 10 - 12 years) these funds will be absorbed by those cities and agglo-meration that dispose of decisive localisation advantages even today, is realistic. Preferring the growth-equalising strategy in its proposed concentrating form in the first stage after EU accession does not mean that the smaller regions out of the reach of the agglomeration development effects shall be excluded from the support. In terms of competitiveness changes till the year 2010, human resources, foreign direct investments, innovations, small and medium sized enterprises (SMEs) and infrastructure, are analysed. According to model calculations the consequences of individual policies shall result until 2010, depending on the selected scenario, in changes in the competitiveness of the regions and GDP per capita development following the individual NUTS II and Slovak regions. Slovakia would approach 72.7 per cent of the EU 25 average forecast for 2010 (currently it is around 53 per cent). With the exception of the region of Bratislava (164.7 per cent) and partly the region of Trnava (74.3 per cent), Slovak regions would achieve values under 75 per cent of EU 25 GDP per capita. The knowledge gained by developed and also cohesion countries, however, shows that mostly the developed scope of regional institutions (including on the one hand institutions necessary for the functioning of the support mechanism and on the other hand institutions supporting transfer of technology and innovation, improving qualification, etc.) can, in particular, affect significantly the sustainability and triggering of regionnal growth. Particularly, the necessity to develop capacities needed for EU membership rises in the pre-accession period. This has resulted from the evaluation of the current situation of the Slovak public administration and ensuring the equalisation of the difference between this situation and the situation required from all EU Member States - existing as well as the new ones. With respect to Slovakia's interest to achieve EU membership in the year 2004 the building of effective and capable capacities for membership is a strategic priority."|economic growth; economic integration; European Union; regional economy, Central Europe; Eurasia; Europe; Slovakia|cited By 4|Ekon. univerzita v Bratislave, Narodohospodárska fakulta, Katedra reg. rozvoja geografie, Dolnozemská cesta 1, Bratislava 5 852 35, Slovakia|Slovak|
Journal Article|Hwangbo Y,Yang YS,Kim MS,Kim Y|SALE OTRA DIFERENTE||The effectiveness of Kano-QFD approach to enhance competitiveness of technology-based SMEs through transfer intention model|Sustainability (Switzerland)|2020|12|19||MDPI||2020|||2071-1050|http://dx.doi.org/10.3390/SU12197885|10.3390/SU12197885|Despite the value of QFD (Quality Function Deployment), it has been applied to individual industries, or only to large companies with sufficient QFD-related human resources and sufficient financial resources. Most SMEs, which account for 80% of the world economy, have not been able to benefit from QFD, the tool designed to revamp the growth, due to the lack of financial and human resources to implement QFD and Kano Model. This paper is brought to assess the effectiveness of Kano-QFD approach for technology-based SMEs through the transfer intention model. In order to verify the effectiveness of the above approach, 860 technology- based SMEs in their establishment 3-7 years are researched for the learning transfer intention after the completion of Kano QFD education and training program. The results of this study are that the perceived content validity has the direct effect on learning transfer intention simultaneously with the partial mediating effect through the self-efficacy factor. The learner readiness does not directly influence the learning transfer intention and the self-efficacy completely mediates the learner readiness and the transfer intention. This research contributes to providing critical implications for the educators and training planners in in private sector as well as policy makers of technology-based SMEs in the public sector. © 2020 by the authors.|competitiveness; education and training; learning; numerical model; perception; policy making; private sector, Kano [Nigeria]; Nigeria|cited By 3|Graduate School of Global Entrepreneurship, Kookmin University, Seoul, 02707, South Korea; Graduate School of Entrepreneurial Management, Hanbat National University, Daejeon, 34158, South Korea; Graduate School of Management of technology, Korea University, Seoul, 02841, South Korea|English|
